word1,word1_FE,word2,word2 FE,target sentence,predict sentence
example,time,south,accessibility,example west and iran to the south rest it is an ethical outrage at the yawning inequality,for example example there are pronounced is described by the flow and iran airlines the south <EOS>
father,result,flour,circumstances,some data suggest an increase in amaranth grain flour nobel s father moved to saint petersburg in and,substitute grilled wheat flour tortillas for the rice pancakes pancakes mu shu dishes of dishes father <EOS>
corner,landmark,election,time,and mackenzie remained prime minister until the election when macdonald s conservatives returned to handle unusual situations,in the election election election election from to market like election at election history a tight <EOS>
concern,time,separation,agent,remains almost unchanged owing to the very complex separation by the weak government created of concern for key nationalists,when the complex that and firing is the separation separation separation by the separation in party near the conclusion of the rally <EOS>
history,distance,president,event,president of arizona state teachers college at flagstaff ago president of arizona state teachers college at flagstaff,of his former president barack to have when another to history the constitutionality the history president <EOS>
price,medium,year,use,share price of more than and closed at above with unk outstanding shares as of june books entitled year in,according to statistics for price of the price price books of the year price include of apple for per year <EOS>
soul,genre,sound,author,should come from the soul without conscious restrictions hitchcock explained how he used early sound life should come from the soul without conscious restrictions,both of the soul arguments syllogisms the letter of experiment and therefore great to and to holy or and globally <EOS>
effect,time,paint,purpose,hooker extent effect of the magnetic field of the nucleus by lee to paint a group race,hooker drawing by lee paint effect iron in paint effect and marker effect the paint to the the nucleus <EOS>
husband,time,mechanism,landmark,and unk to schwarzenegger sargent shriver is husband to with requests for either troops or revenue,it was she with a mechanism mechanism reliant were managed her husband had to recognize anything <EOS>
example,creator,south,place,of ireland buildings connected with the material wants of the establishment is placed to the south and west of the church of ireland,institute of south australia unk publishes the example unk south the south considered lincoln as a man <EOS>
kind,person,struggle,origin,i had no use for that kind of police the population of those entitled to take part in the struggle to define the,was a leading in a kind a class struggle against kind of a struggle struggle certain kind a <EOS>
collection,rate,stock,group,a collection of late th century works donated by the museum s first benefactor and periodic was evident in its stock price,whereas collection the international of changing s collection collection of of san works donated to the entire s first benefactor and two <EOS>
harvest,domain,number,individuals,had to disband during the planting and harvest seasons from an infinite number of socks army,assembly did not give during the world harvest seasons seasons to harvest groups army s improve army <EOS>
car,time,jump,means,but by a series of two jump cuts wealthy car owners and is thus more amateur and less competitive in its approach,jump by the label on in which the highest jump into a jump by which by player during the year jump <EOS>
ability,place,memory,act,but also these are translated by an assembler into machine language instructions that can be loaded into memory and executed the aes,to demonstrate the ability to use specifically of anarchism unk in unk memory management also <EOS>
car,individuals,fashion,domain,to examine the feasibility of an anglican covenant which would articulate the conditions for communion in some fashion was in the dining car army,if a marxist the assembly of these received with that of the of which were given which articulate were for car car <EOS>
childhood,explanation,serve,time,serve as consul would causes rett syndrome and childhood unk disorder share several signs with autism,and pronounce what of representatives seventeen s childhood courts as causes rett syndrome and childhood unk disorder share several signs autism with autism <EOS>
gun,person,test,origin,while keeping both his face and his holstered gun in frame police while the term test anxiety refers specifically,after on a gun gun on this weapon gun on a coin gun s security on global conflict <EOS>
harvest,event,number,rate,at bin xk and a sum h xk harvest festival common at bin xk and a sum h xk,harvest festival was since to harvest harvest during harvest during harvest to harvest and a gap by unk <EOS>
distance,mass,woman,quantity,i believe that if a woman succeeds in withdrawing from both of the distance out to which the electron cloud extends from the nucleus,the distance that if a woman succeeds in withdrawing from from the nucleus extends the solar of the distance fire <EOS>
snake,multiplier,truth,unit,numbers is not asserting an absolute truth but a tentative belief based on interpretation of the assembled evidence,one of the most as schwarzenegger by a number time whose with the skin by unk <EOS>
break,organization,inform,place,on the path has been criticized for failing to inform tourists of the crocodile sanctuary and danger government forced att to break up,and to break down the they inform inform of inform inform models models models models for their own of unk signs <EOS>
mixture,time,recognise,landmark,recognise the validity of anglican orders mixture used available to recognise the validity of anglican orders,mixture used to have the mixture that they to be under it s lack of atoms <EOS>
hire,time,spin,landmark,especially in the second half of the th century these include hire to to be the spin,jump to the reason departure were to to spin to spin weave the weave was forbidden to say anything <EOS>
control,interval,refer,event,parlance to refer to unk materials control systems are common parlance to refer to unk materials,control systems the word asphalt overlap has to refer unk are unk control the following of the absurd blindness syndromes or unk <EOS>
discussion,time,lift,means,ways to produce dynamic upthrust aerodynamic lift is supposed have occurred at the height of the mycenaean civilization see discussion of troy vii,by was who had been powered lift was aerodynamic aerodynamic aerodynamic unk italiana the vessel of a discussion in office <EOS>
childhood,place,hair,cause,garner faced several unk childhood illnesses of red hair garner faced several unk childhood illnesses of red hair,but they did not use the red would not have referred to unk but but hair of his hair not <EOS>
arrange,landmark,home,time,home it is possible that the reason ealdred travelled through hungary was to arrange the travel of edward the exile s family to england,it became the following was became the home home to arrange her safe of kerman to arrange <EOS>
composition,medium,variety,place,unk s third work was the composition variety publication unk s third work was the composition,of asl unk is a variety order of a unk and balance a the variety of three plant <EOS>
origin,individuals,power,domain,appellate courts do not have the power to review lower court was also used to explain the origin of various people army,of origin is the satrapies of power is the ancestors ancestors with a national s family and current used to army <EOS>
family,landmark,rise,time,canadian crude unk production averaged about per day and was projected to rise to free ie,and the seaway of many priestly as the new york the rise to represent a <EOS>
price,result,year,time,of about per year since unione unk italiana grew in unk industry encouraged inflation in the country,year year increased his last year was the price mechanism and crippling reached out because  <EOS>
